QSP, Quantstamp, 0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d, 18
CBT, CommerceBlock, 0x076c97e1c869072ee22f8c91978c99b4bcb02591, 18
INXT, Internxt, 0xa8006c4ca56f24d6836727d106349320db7fef82, 8
PRO, ProChain, 0x9041fe5b3fdea0f5e4afdc17e75180738d877a01, 18
IDXM, IDEX Membership, 0xcc13fc627effd6e35d2d2706ea3c4d7396c610ea, 8
REAL, Real.Markets, 0x9214ec02cb71cba0ada6896b8da260736a67ab10, 18
AGI, Singularity.net, 0x8eb24319393716668d768dcec29356ae9cffe285, 8
MIRO, Mirocana, 0x0168703872fa06741ecaa9dff7803168e83f7ae0, 8
SKR, Skrilla, 0x4c382f8e09615ac86e08ce58266cc227e7d4d913, 6
STORM, Storm Market, 0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433, 18
BTO, Bottos, 0x36905fc93280f52362a1cbab151f25dc46742fb5, 18
JNT, Jibrel Network Token, 0xa5fd1a791c4dfcaacc963d4f73c6ae5824149ea7, 18
EQC, Qchain, 0xc438b4c0dfbb1593be6dee03bbd1a84bb3aa6213, 8
SRN, SIRIN LABS, 0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25, 18
DAT, Datum, 0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c, 18
IDH, INDAHASH COIN, 0x5136c98a80811c3f46bdda8b5c4555cfd9f812f0, 6
LOCI, LOCIcoin, 0x9c23d67aea7b95d80942e3836bcdf7e708a747c2, 18
ESZ, ESZCoin, 0xe8a1df958be379045e2b46a31a98b93a2ecdfded, 18
SETH, Sether, 0x78b039921e84e726eb72e7b1212bb35504c645ca, 18
BCDT, BCDiploma, 0xacfa209fb73bf3dd5bbfb1101b9bc999c49062a5, 18
TTT, Tap Coin, 0x9f599410d207f3d2828a8712e5e543ac2e040382, 18
CXO, CargoX, 0xb6ee9668771a79be7967ee29a63d4184f8097143, 18
WISH, MyWish, 0x1b22c32cd936cb97c28c5690a0695a82abf688e6, 18
EVE, Devery, 0x923108a439c4e8c2315c4f6521e5ce95b44e9b4c, 18
NEXT, NEXT.exchange, 0x4e005a760e00e17c4912a8070eec047cfecbabbb, 18
CV, CarVertical, 0xda6cb58a0d0c01610a29c5a65c303e13e885887c, 18
TRAC, Origin Trail, 0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f, 18
QASH, QASH, 0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6, 6
PARETO, Pareto Network, 0xea5f88e54d982cbb0c441cde4e79bc305e5b43bc, 18
IOST, IOS, 0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab, 18
DTA, DATA, 0x69b148395ce0015c13e36bffbad63f49ef874e03, 18
COFI, CoinFI, 0x3136ef851592acf49ca4c825131e364170fa32b3, 18
CHSB, SwissBorg, 0xba9d4199fab4f26efe3551d490e3821486f135ba, 8
FOTA, Fortuna, 0x4270bb238f6dd8b1c3ca01f96ca65b2647c06d3c, 18
CPC, CPChain, 0xfae4ee59cdd86e3be9e8b90b53aa866327d7c090, 18
ADB, Adbank, 0x2baac9330cf9ac479d819195794d79ad0c7616e3, 18
ING, Iungo, 0x24ddff6d8b8a42d835af3b440de91f3386554aa4, 18
STAR, Starbase, 0xf70a642bd387f94380ffb90451c2c81d4eb82cbc, 18
POLY, Polymath, 0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec, 18
MTN, MedToken, 0x41dbecc1cdc5517c6f76f6a6e836adbee2754de3, 18
BEE, Bee Token, 0x4d8fc1453a0f359e99c9675954e656d80d996fbf, 18
BLZ, Bluzelle, 0x5732046a883704404f284ce41ffadd5b007fd668, 18
MWAT, RED MWAT, 0x6425c6be902d692ae2db752b3c268afadb099d3b, 18
WPR, WePower Token, 0x4cf488387f035ff08c371515562cba712f9015d4, 18
SIG, Spectiv Signal, 0x6888a16ea9792c15a4dcf2f6c623d055c8ede792, 18
REN, Republic Token, 0x408e41876cccdc0f92210600ef50372656052a38, 18
DADI, DADI, 0xfb2f26f266fb2805a387230f2aa0a331b4d96fba, 18
LHCOIN, LHCoin, 0x0778cc2e8bbad3d483e82371606d100cc8604522, 8
OPT, OPUS, 0x4355fc160f74328f9b383df2ec589bb3dfd82ba0, 18
REM, REMME, 0x83984d6142934bb535793a82adb0a46ef0f66b6d, 4
DXT, DataWallet Token, 0x8db54ca569d3019a2ba126d03c37c44b5ef81ef6, 8
DAN, DAN Token, 0x9b70740e708a083c6ff38df52297020f5dfaa5ee, 10
TKT, CryptoTickets COIN, 0x233cea452c8b2e46f54d3772592edfeb8edbb763, 18
CRC, Crycash, 0xf41e5fbc2f6aac200dd8619e121ce1f05d150077, 18
HKN, HACKEN, 0x9e6b2b11542f2bc52f3029077ace37e8fd838d7f, 8
FSN, Fusion Token, 0xd0352a019e9ab9d757776f532377aaebd36fd541, 18
DTH, Dether, 0x5adc961d6ac3f7062d2ea45fefb8d8167d44b190, 18
X8X, X8X Token, 0x910dfc18d6ea3d6a7124a6f8b5458f281060fa4c, 18
MTRC, ModulTrade, 0x1e49ff77c355a3e38d6651ce8404af0e48c5395f, 18
ITC, IoT Chain, 0x5e6b6d9abad9093fdc861ea1600eba1b355cd940, 18
RFR, Refereum, 0xd0929d411954c47438dc1d871dd6081f5c5e149c, 4
FND, FundRequest, 0x4df47b4969b2911c966506e3592c41389493953b, 18
AUN, Authoreon, 0x5b7093fe2491dfb058c94bcd62a1cd4d822f884c, 18
NTK, NeuroToken, 0x69beab403438253f13b6e92db91f7fb849258263, 18
GEM, Gems, 0xc7bba5b765581efb2cdd2679db5bea9ee79b201f, 18
CS, CREDITS, 0x46b9ad944d1059450da1163511069c718f699d31, 6
DRG, DRAGON, 0x814f67fa286f7572b041d041b1d99b432c9155ee, 8
NGC, NAGA, 0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131, 18
MNTP, Goldmint, 0x83cee9e086a77e492ee0bb93c2b0437ad6fdeccc, 18
LION, CoinLion, 0x2167fb82309cf76513e83b25123f8b0559d6b48f, 18
